exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
TIMEOUT,720.0,0.07504985423316321,-0.9461202935297113,-0.15809682408137163,-0.4896695407344917,-0.4041619199278487,-0.44107168430481475,-0.22637988817876287,-0.15809682408137163,LONG
SL,238.0,0.3704366037028108,-1.1567064537190923,-1.0,-0.36498900658953903,0.02451418700974362,-1.0,-1.0,-1.0,LONG
SL,118.0,0.5016034347226502,-1.3526756360542793,-1.0,0.09370613615696953,-1.0,-1.0,-1.0,-1.0,LONG
SL,58.0,0.46054729943486145,-1.6162370374268817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,459.0,1.599336115423528,-1.0591729966101915,-1.0,0.24401774458280617,0.7441408000435481,0.680681076994139,-1.0,-1.0,LONG
SL,159.0,0.7559752188610849,-1.4832878701823986,-1.0,0.3869446617867286,-0.25975451832903185,-1.0,-1.0,-1.0,LONG
SL,79.0,0.15214932932736389,-1.0469936899476389,-1.0,-0.5131816362058621,-1.0,-1.0,-1.0,-1.0,LONG
SL,594.0,0.18473063367994358,-1.0923481567949012,-1.0,-0.0673497101958073,-0.27581309889712463,-0.11738092348412171,-0.3053186862210057,-1.0,LONG
SL,399.0,0.4319376467413302,-1.0133921712007947,-1.0,-0.03672344365007856,0.2763001950815027,-0.2614359440802767,-1.0,-1.0,LONG
SL,420.0,0.6702517177882585,-1.0556939237684946,-1.0,0.11961999495937765,0.2952525272409962,0.19936665826562222,-1.0,-1.0,LONG
SL,324.0,0.5870543564311608,-1.057692848959843,-1.0,0.1412910484969963,0.42287813810718555,0.01890514029185608,-1.0,-1.0,LONG
SL,267.0,0.11747374771648,-1.0724543002736429,-1.0,-0.2946970740128813,-0.4972380183516256,-0.6562326596575335,-1.0,-1.0,LONG
SL,249.0,0.4490719415799717,-1.265283530548586,-1.0,0.04978164710355355,-0.0653384118233993,-0.8099888830806996,-1.0,-1.0,LONG
SL,103.0,0.1530108820094691,-1.0385463015131187,-1.0,-0.40602100186766643,-1.0,-1.0,-1.0,-1.0,LONG
SL,49.0,0.05559497405738688,-1.111899481147537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,436.0,0.3481877296376615,-3.2195330853363266,-1.0,-0.1580483473240128,-0.005615931123201329,0.0473342766097225,-1.0,-1.0,LONG
SL,316.0,0.37909044246816703,-3.469802702864933,-1.0,0.03548563502556522,0.05452670747830609,0.04933368771847303,-1.0,-1.0,LONG
